epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,17422.1,0.8922,0.03996,0.01825,0.38581,0.87854,0.99165,0.99833,0.99461,0.88994,0.99165,0.99833,0.99461,0.99461,0.59419,0.00764,0.00056,0.23933,0.91018,6.86451e-05,6.86451e-05,6.86451e-05
27,18104.2,0.88669,0.0385,0.01805,0.38268,0.87875,0.99203,0.99567,0.99465,0.8931,0.99203,0.99567,0.99465,0.99465,0.57974,0.00838,0.00112,0.24364,0.90227,6.18709e-05,6.18709e-05,6.18709e-05
28,18782.2,0.87964,0.03867,0.01705,0.37989,0.8751,0.99197,0.99654,0.99467,0.89446,0.99197,0.99654,0.99467,0.99467,0.5749,0.00795,0.00096,0.2356,0.89687,5.53626e-05,5.53626e-05,5.53626e-05
29,19460.7,0.88238,0.03901,0.01797,0.38064,0.87542,0.99474,0.99905,0.99454,0.88128,0.99474,0.99905,0.99454,0.99454,0.62744,0.00756,0.00158,0.24241,0.92078,4.91604e-05,4.91604e-05,4.91604e-05
30,20151.5,0.8784,0.0382,0.01752,0.37667,0.87319,0.9929,0.99809,0.99452,0.87896,0.9929,0.99809,0.99452,0.99452,0.62713,0.00772,0.00185,0.24186,0.91786,4.33024e-05,4.33024e-05,4.33024e-05
31,20757.2,0.82591,0.01917,0.01666,0.348,0.86691,0.99076,0.99905,0.99469,0.8827,0.99076,0.99905,0.99469,0.99469,0.61546,0.00757,0.00084,0.24299,0.91252,3.78249e-05,3.78249e-05,3.78249e-05
32,21364.5,0.81952,0.01848,0.01608,0.34486,0.86536,0.99141,0.99682,0.99471,0.89372,0.99141,0.99682,0.99471,0.99471,0.578,0.00795,0.00167,0.2391,0.89746,3.27614e-05,3.27614e-05,3.27614e-05
33,21969.2,0.81661,0.02048,0.01516,0.34448,0.86106,0.99513,0.99809,0.99481,0.89133,0.99513,0.99809,0.99481,0.99481,0.59327,0.00735,0.00124,0.23587,0.90337,2.81434e-05,2.81434e-05,2.81434e-05
34,22576.8,0.80975,0.01777,0.01644,0.33983,0.86651,0.99366,0.99887,0.99476,0.89191,0.99366,0.99887,0.99476,0.99476,0.5939,0.00724,0.00213,0.23454,0.90606,2.39992e-05,2.39992e-05,2.39992e-05
35,23182.7,0.79842,0.01888,0.01547,0.33637,0.85943,0.9937,0.99905,0.9948,0.88469,0.9937,0.99905,0.9948,0.9948,0.62169,0.00723,0.00121,0.23931,0.91743,2.03544e-05,2.03544e-05,2.03544e-05
36,23787.3,0.804,0.01895,0.01548,0.34012,0.86269,0.99488,0.99905,0.99483,0.89655,0.99488,0.99905,0.99483,0.99483,0.57068,0.00752,0.00108,0.22596,0.89563,1.72314e-05,1.72314e-05,1.72314e-05
37,24391.8,0.79113,0.01754,0.01401,0.33604,0.85998,0.99316,0.99905,0.99481,0.90014,0.99316,0.99905,0.99481,0.99481,0.56185,0.00746,0.00096,0.22719,0.89144,1.46496e-05,1.46496e-05,1.46496e-05
38,24993.7,0.80041,0.01866,0.01546,0.33621,0.86128,0.99349,0.99905,0.99479,0.90125,0.99349,0.99905,0.99479,0.99479,0.55907,0.00711,0.00077,0.22409,0.89216,1.26249e-05,1.26249e-05,1.26249e-05
39,25599.3,0.78909,0.01692,0.01476,0.32993,0.85725,0.99491,0.99809,0.99484,0.90052,0.99491,0.99809,0.99484,0.99484,0.55589,0.00718,0.00097,0.22353,0.89099,1.11696e-05,1.11696e-05,1.11696e-05
40,26202.9,0.78515,0.01729,0.01457,0.32708,0.85688,0.99539,0.99905,0.99482,0.89762,0.99539,0.99905,0.99482,0.99482,0.56542,0.00739,0.0008,0.22472,0.89292,1.02929e-05,1.02929e-05,1.02929e-05
